N,P,K,temperature,humidity,ph,rainfall,previous_crop,soil_type,water_requirement,investment_per_acre,crop_duration,label,previous_crop_profit_per_acre,predicted_crop_profit_per_acre
102,13,50,34.34049041987706,60.35805649566633,4.552040167830561,39.662959070212224,Wheat,Black Soil,High,64523,Medium (5-7 months),Soybean,24979,38146
92,72,86,31.73098763626582,47.928004938508096,5.286645465787353,252.1940297100225,Sugarcane,Loamy Soil,High,51019,Medium (5-7 months),Rice,52355,128562
14,85,195,24.64364136743837,45.87897477700186,6.113090163450291,118.54087503249204,Cotton,Loamy Soil,Low,48885,Long (8-12 months),Rice,95515,75093
106,143,127,34.24157893551309,47.18528195359865,4.306782630206491,197.39088307454216,Sugarcane,Red Soil,High,32571,Short (3-4 months),Groundnut,93963,142565
71,127,102,30.919412527343262,67.0151707635408,9.762492793070413,196.24554129567545,Chilli,Sandy Soil,Low,71394,Long (8-12 months),Sesame,50102,82787
20,134,168,30.719402431302402,18.172288369074884,3.51763430226748,197.31463801808664,Rice,Sandy Soil,Medium,54503,Short (3-4 months),Sesame,26945,146351
102,27,50,15.878455419923533,49.86625331097011,8.469735348136254,85.35866029018699,Chilli,Sandy Soil,High,55440,Long (8-12 months),Barley,86094,108065
121,26,107,19.71915059111906,62.31389045819319,6.890377305172873,49.37850076683783,Chilli,Loamy Soil,Medium,74130,Long (8-12 months),Wheat,29647,42217
74,144,41,20.828799901151193,81.66961762278964,4.055038190000508,39.82737519153183,Chilli,Loamy Soil,High,39909,Long (8-12 months),Wheat,60804,62308
87,13,22,36.99097582697392,59.69113684552139,4.276597882165943,178.63108764931349,Chilli,Sandy Soil,Low,53923,Short (3-4 months),Peanut,95346,98597
116,94,175,35.83813452144218,93.65311964786024,7.298646983592249,46.55212228444433,Rice,Black Soil,High,66436,Medium (5-7 months),Soybean,82047,100858
99,37,108,17.63127443153276,52.299963117943115,5.531938305156921,131.01872706640668,Rice,Black Soil,High,48470,Medium (5-7 months),Chilli,57521,40764
103,93,161,10.747721483810317,70.04661102364508,6.399622529220938,264.1052348105134,Cotton,Red Soil,Medium,48648,Medium (5-7 months),Millets,85001,65595
130,99,150,35.582800993365765,15.765160243382939,7.0362241502171035,41.70427332016089,Sugarcane,Sandy Soil,Low,55402,Medium (5-7 months),Peanut,78241,56893
52,73,147,23.10943660534664,34.69872288119068,7.191574842326951,201.3418765234105,Wheat,Loamy Soil,Low,30080,Medium (5-7 months),Wheat,56701,136723
1,42,191,16.485775247174615,84.16217180075941,7.251136057918465,139.49089330053405,Rice,Loamy Soil,High,76069,Medium (5-7 months),Rice,55432,22983
87,143,126,12.903691423022378,64.51064317608983,3.9552016331131927,259.5349358310984,Sugarcane,Sandy Soil,Medium,45919,Short (3-4 months),Peanut,90496,97157
37,68,98,9.27226298965132,95.36762431064056,8.26627987735651,227.01440916285665,Cotton,Sandy Soil,Low,45366,Short (3-4 months),Peanut,54502,98449
129,76,104,23.731974801927933,78.79749620134095,5.392083409989748,53.1999251504614,Sugarcane,Black Soil,High,43626,Long (8-12 months),Cotton,39030,62535
20,24,32,20.66638194299461,52.80495073970778,4.240581626469129,101.59292861393303,Wheat,Sandy Soil,Low,34591,Long (8-12 months),Barley,86545,116560
57,38,185,33.09753295200477,81.01215700184302,4.161938648808003,197.51359728005002,Chilli,Black Soil,High,56778,Medium (5-7 months),Cotton,26729,66316
21,115,19,42.86228760150547,54.35851725446193,5.028843018470225,67.98810860901769,Wheat,Sandy Soil,Low,56321,Short (3-4 months),Sesame,36862,84982
88,46,132,16.032011467254897,42.56138206208369,7.547376914213235,243.36174234654607,Wheat,Black Soil,High,47722,Long (8-12 months),Chilli,23112,78769
48,140,47,17.295440078580192,18.29529577033106,6.539376621828399,87.96543267129859,Rice,Black Soil,Low,55733,Medium (5-7 months),Chilli,97333,127628
58,70,37,20.580608262532515,88.46259526098783,4.193275074574798,251.34768413425795,Rice,Loamy Soil,Medium,52079,Long (8-12 months),Sugarcane,25654,49552
14,25,134,25.06351666214462,50.171332554730405,3.7127909712857448,94.70135284076456,Wheat,Red Soil,Medium,73745,Short (3-4 months),Groundnut,83129,74016
50,83,191,33.14034750925321,72.99346509254077,3.6633610285310287,80.73154598578387,Chilli,Black Soil,High,60564,Medium (5-7 months),Chilli,46200,94978
107,74,12,21.093909318708082,27.378886056512073,6.212515198781001,282.30986507877697,Chilli,Sandy Soil,Low,55067,Short (3-4 months),Barley,52013,47387
54,9,116,12.457044734813996,85.31987311329783,8.572752342199017,197.37079521812643,Rice,Red Soil,High,73008,Long (8-12 months),Millets,76688,32333
63,71,37,34.27794810365998,84.9116638421876,7.193384445520287,170.46365083502076,Chilli,Red Soil,High,64067,Long (8-12 months),Millets,37155,112011
130,20,167,36.518792841502496,55.58958137514099,8.711258231865306,33.73185747894715,Wheat,Sandy Soil,Low,49423,Medium (5-7 months),Peanut,52537,137619
50,103,150,17.456185395716332,71.87686267052014,5.558529019592171,98.60058772236117,Wheat,Sandy Soil,Low,35465,Medium (5-7 months),Barley,71051,60529
134,77,94,13.591604991493677,58.959063537422885,4.407192842831972,54.63725715119094,Cotton,Red Soil,Medium,72972,Short (3-4 months),Millets,21693,121405
20,39,153,27.219445489769353,61.60039753848015,8.668324395163452,64.61256177094303,Cotton,Sandy Soil,Medium,56715,Short (3-4 months),Barley,34366,83592
72,87,196,16.085390280699528,90.449519769992,8.18502092292195,93.29154134182227,Wheat,Red Soil,Low,46383,Short (3-4 months),Maize,66685,93701
17,114,160,21.865202413574686,97.14576558264545,7.2929112731988806,58.02349344501228,Wheat,Loamy Soil,Medium,68927,Long (8-12 months),Sugarcane,72314,74312
131,43,120,35.91657202384354,45.761459012263224,9.213349316405422,270.60712155128505,Rice,Loamy Soil,Medium,42936,Long (8-12 months),Sugarcane,26141,75353
88,14,177,16.47894029848121,42.69547598623461,7.560238826725509,43.85122646830278,Sugarcane,Black Soil,Low,33039,Short (3-4 months),Soybean,27732,25179
59,5,24,36.923663501710635,40.30157869682154,6.885923953899816,259.4117213227338,Cotton,Black Soil,Medium,58704,Medium (5-7 months),Soybean,53920,141573
13,10,127,32.315148854336734,80.33044040020663,6.734775933103283,153.59098079104493,Chilli,Red Soil,Medium,58050,Short (3-4 months),Millets,27861,28584
8,70,136,16.48308117317503,76.22758322877056,7.474682746295363,63.74832301621721,Wheat,Red Soil,Medium,34286,Long (8-12 months),Groundnut,22029,134292
89,42,40,27.170779446372016,18.01275035479419,6.826828024704807,166.936342917715,Sugarcane,Red Soil,High,48368,Medium (5-7 months),Maize,77469,86298
